PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,PT BPR BANK KLATEN,SEMARANG CANDI,
202601,TELKOM INTERNASIONAL INDONESIA,BATAM CENTRE,
202601,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,JAKARTA JATINEGARA,
202601,PEMKAB SUKOHARJO,SURABAYA KEBALEN,
202601,ITCI,BALIKPAPAN BATUAMPAR,
202601,PEMKAB MALANG,MALANG,
202601,MILENIAL INTI TELEKOMUNIKASI,SURABAYA GUBENG,
202601,DIGITAL WIRELESS INDONESIA,MAKASSAR MATOANGIN,
202601,LIGHTSTORM INDONESIA TELEKOMUNIKASI,JAKARTA JATINEGARA,
202601,PT APLIKANUSA LINTASARTA ,PEKANBARU CENTRUM,
202601,SPARKOO TECHNOLOGIES INDONESIA,BANDUNG LEMBONG,
202601,WAHYU ADIDAYA NETWORK,BANDUNG LEMBONG,Membership Class B
202601,PT TELKOM SATELIT INDONESIA,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,BANJARMASIN ULIN,
202601,KOTANET JARINGAN TELEKOMUNIKASI,MANADO PANIKI,
202601,MITRA TELEMEDIA MANUNGGAL (MTM),DENPASAR KALIASEM,
202601,TELKOM INFRASTRUKTUR INDONESIA,SEMARANG CANDI,
202601,ABHINAWA SUMBERDAYA ASIA,SURABAYA GUBENG,
202601,iFORTE SOLUSI INFOTEK,JAKARTA KARET TENGSIN,
202601,TELKOM INFRASTRUKTUR INDONESIA,MAKASSAR MATOANGIN,
202601,Mayatama Solusindo,PALEMBANG TALANG KALAPA,
202601,SOLNET INDONESIA,SURABAYA GUBENG,
202601,FIBER NETWORKS INDONESIA,JAKARTA KARET TENGSIN,
202601,VAIOTECH LINTAS NUSANTARA,BANDUNG LEMBONG,
202601,PT APLIKANUSA LINTASARTA ,SEMARANG CANDI,
202601,PC24 CYBER TELIN,BALIKPAPAN BATUAMPAR,
202601,DWI TUNGGAL PUTRA,JAKARTA KARET TENGSIN,Membership Class C
202601,TELKOM INFRASTRUKTUR INDONESIA,DENPASAR KALIASEM,
202601,WISUANDHA NETWORK GLOBALINDO,DENPASAR KALIASEM,
202601,XENITHIG INDONESIA NETWORK,JAKARTA KARET TENGSIN,
202601,MITRA KITA BRILIAN,BANDUNG LEMBONG,
202601,AKTIF TENGAH MALAM,JAKARTA KARET TENGSIN,
202601,PT APLIKANUSA LINTASARTA ,JAKARTA KARET TENGSIN,
202601,INTERLINK TECHNOLOGY,JAKARTA KARET TENGSIN,Membership Class A
202601,FIBER NETWORKS INDONESIA,JAKARTA KARET TENGSIN,Membership Class C
202601,CENDIKIA GLOBAL SOLUSI,MANADO PANIKI,
202601,TELEKOMUNIKASI INDONESIA INTERNATIONAL,BALIKPAPAN BATUAMPAR,
202601,PT TELKOM SATELIT INDONESIA,JAKARTA JATINEGARA,
202601,GLOBAL NETWORK TAPANULI,MEDAN CENTRUM,
202601,AULIA SENTRAL MULTIDATA,PONTIANAK CENTRUM,
